playcounts,name,actor
2.9万次播放 ,龙之谷:破晓奇兵,"景甜,胡歌"
2.9万次播放 ,刺客信条,"迈克尔·法斯宾德,玛丽昂·歌迪亚"
2.9万次播放 ,大话西游之月光宝盒,"周星驰,莫文蔚"
2.9万次播放 ,暗战,"刘德华,刘青云"
2.9万次播放 ,江湖水,"洪浚嘉,袁百梓卉"
2.9万次播放 ,南北少林,"李连杰,胡坚强"
2.8万次播放 ,五亿探长雷洛传之雷老虎,"刘德华,张敏"
2.8万次播放 ,苹果,"文素利,金泰宇"
2.8万次播放 ,泡妞之王,"方子健,郑梦瑶"
2.8万次播放 ,毒.诫,"刘青云,林家栋"
2.8万次播放 ,精灵旅社2,"亚当·桑德勒,安迪·萨姆伯格"
2.8万次播放 ,报告老板！贺岁篇,"白客,刘循子墨"
2.8万次播放 ,珍珠港,"本·阿弗莱克,乔什·哈奈特"
2.8万次播放 ,狂蟒之灾4,"克莉丝朵·艾伦,林登·阿施拜"
2.8万次播放 ,超级特工,"文森·卡索,莫妮卡·贝鲁奇"
2.7万次播放 ,一念天堂,"沈腾,马丽"
2.7万次播放 ,报告老板第二季!,"刘循子墨,张本煜"
2.7万次播放 ,最美的时候遇见你,"谭松韵,罗云熙"
2.7万次播放 ,白色严冬,"弗罗里安·卢卡斯,拉克兰·尼布尔"
2.7万次播放 ,第一次,"赵又廷,杨颖"
2.6万次播放 ,考拉大冒险,"罗伯·施奈德,布雷特·麦肯齐"
2.6万次播放 ,我脑中的橡皮擦,"郑雨盛,孙艺珍"
2.6万次播放 ,大上海,"周润发,黄晓明"
2.6万次播放 ,港囧,"徐峥,赵薇"
2.6万次播放 ,天剑,"安娜·托芙,阿尔弗雷德·莫里纳"
2.6万次播放 ,巴黎危机,"伊德瑞斯·艾尔巴,理查德·麦登"
2.6万次播放 ,废柴特工,"杰西·艾森伯格,克里斯汀·斯图尔特"
2.6万次播放 ,西游记之大闹天宫,"甄子丹,周润发"
2.6万次播放 ,亡灵,"大卫·安德斯,克里斯·维尔德"
2.5万次播放 ,小明和他的小伙伴们,"乔杉,许君聪"
2.5万次播放 ,刺猬小子之天生我刺,"路知行,阎萌萌"
2.5万次播放 ,超能陆战队,"斯科特·埃德希特,瑞恩·波特"
2.5万次播放 ,山村老尸,"吴镇宇,黎姿"
2.5万次播放 ,生化危机3:灭绝,"米拉·乔沃维奇,奥德·菲尔"
2.5万次播放 ,白鹿原,"张丰毅,张雨绮"
2.5万次播放 ,我的电话情人,"金雅中,池晟"
2.5万次播放 ,独孤九剑,"李嘉欣,杨丽菁"
2.5万次播放 ,攻壳机动队,"斯嘉丽·约翰逊,皮鲁·埃斯贝克"
2.5万次播放 ,挑逗性游戏,"威廉·鲍德温,辛迪·克劳馥"
2.5万次播放 ,比利·林恩的中场战事,"乔·阿尔文,克里斯汀·斯图尔特"
2.5万次播放 ,海浪,"克里斯托弗·琼勒,安妮·达尔·托普"
2.5万次播放 ,醉后一夜,"张静初,余文乐"
2.5万次播放 ,X战警,"休·杰克曼,帕特里克·斯图尔特"
2.5万次播放 ,催乳大师,"孙昊,王蕴凡"
2.5万次播放 ,生化危机:终章,"露比·罗丝,米拉·乔沃维奇"
2.5万次播放 ,丧尸李志,"张炜迅,张晔子"
2.5万次播放 ,我是证人,"杨幂,鹿晗"
2.4万次播放 ,美国队长3,"克里斯·埃文斯,小罗伯特·唐尼"
2.4万次播放 ,陆垚知马俐,"包贝尔,宋佳"
2.4万次播放 ,危城,"刘青云,古天乐"
2.4万次播放 ,碟中谍5:神秘国度,"汤姆·克鲁斯,杰瑞米·雷纳"
2.4万次播放 ,道士出山,"彭禺厶,金梓壑"
2.4万次播放 ,知法犯法,"曾志伟,吴彦祖"
2.4万次播放 ,极限挑战,"黄渤,王迅"
2.4万次播放 ,地道战,"朱龙广,王炳彧"
2.3万次播放 ,美人鱼之海盗来袭,"郭亚维,申克"
2.3万次播放 ,谁的青春不迷茫,"白敬亭,郭姝彤"
2.3万次播放 ,海底总动员2:多莉去哪儿,"艾伦·德詹尼丝,艾伯特·布鲁克斯"
2.3万次播放 ,噬人鲨大战食人鳄,"贾里尔·怀特,加里·斯加奇"
2.3万次播放 ,地心历险记2,"道恩·强森,迈克尔·凯恩"
2.3万次播放 ,狂怒,"布拉德·皮特,希安·拉博夫"
2.3万次播放 ,百团大战,"陶泽如,刘之冰"
2.3万次播放 ,爱爱囧事,"赵奕欢,王一"
2.3万次播放 ,五朵金花,"杨丽坤,王苏娅"
2.3万次播放 ,我的少女时代,"宋芸桦,王大陆"
,全球院线前瞻,
2.2万次播放 ,钟馗伏魔:雪妖魔灵,"陈坤,李冰冰"
2.2万次播放 ,X战警2,"休·杰克曼,哈莉·贝瑞"
2.2万次播放 ,花街神女 91 香港版,"杨丽菁,黄加达"
2.2万次播放 ,人在囧途,"徐峥,王宝强"
2.2万次播放 ,一个人的武林,"甄子丹,王宝强"
2.2万次播放 ,黄飞鸿之英雄有梦,"洪金宝,彭于晏"
2.2万次播放 ,加勒比海盗3:世界的尽头,"约翰尼·德普,奥兰多·布鲁姆"
2.2万次播放 ,魔兽,"崔维斯·费米尔,宝拉·巴顿"
,欲,
2.2万次播放 ,美的统治,"Éric Bruneau,玛丽-乔西·克罗兹"
2.2万次播放 ,鲨滩,"布蕾克·莱弗利,奥斯卡·贾恩那达"
2.2万次播放 ,X战警:第一战,"詹姆斯·麦卡沃伊,迈克尔·法斯宾德"
2.2万次播放 ,煎饼侠,"大鹏,袁姗姗"
2.2万次播放 ,十万个冷笑话,"卢恒宇,皇贞季"
2.2万次播放 ,喜气洋洋小金莲,"陈南飞,隆妮"
2.1万次播放 ,狗眼看阴阳3,"虎虎,颜丹"
2.1万次播放 ,午夜微博,"邓紫衣,唐禹哲"
2.1万次播放 ,伦敦陷落,"杰拉德·巴特勒,阿伦·伊克哈特"
2.1万次播放 ,马达加斯加的企鹅,"汤姆·麦克格雷斯,克里斯·米勒"
2.1万次播放 ,危机13小时,"詹姆斯·贝吉·戴尔,约翰·卡拉辛斯基"
2.1万次播放 ,超凡战队,"达克雷·蒙特戈梅里,Naomi Scott"
2.1万次播放 ,窃听风云,"刘青云,古天乐"
2.1万次播放 ,永乐恩仇,"樊少皇,毛志强"
2.1万次播放 ,生化危机2:启示录,"米拉·乔沃维奇,西耶娜·盖尔利"
2.1万次播放 ,他是龙,"玛利亚·波兹哈娃,马特维·雷科夫"
,昆虫总动员,
2.0万次播放 ,清款人,"维尼·琼斯,Berik Aitzhanov"
2.0万次播放 ,阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜"
2.0万次播放 ,女间谍,"梅丽莎·麦卡西,杰森·斯坦森"
2.0万次播放 ,有一个地方只有我们知道,"吴亦凡,王丽坤"
2.0万次播放 ,超级女特工,"苏菲·玛索,茱莉·德帕迪约"
2.0万次播放 ,万物生长,"范冰冰,韩庚"
2.0万次播放 ,秘岸,"莫文蔚,蒋雯丽"
2.0万次播放 ,嫌疑犯X的献身,"福山雅治,柴崎幸"
2.0万次播放 ,北京遇上西雅图,"汤唯,吴秀波"
,电影公嗨课,
2.0万次播放 ,血战台儿庄,"邵宏来,初国梁"
2.0万次播放 ,幸存者,"米拉·乔沃维奇,皮尔斯·布鲁斯南"
2.0万次播放 ,王朝的女人·杨贵妃,"范冰冰,黎明"
2.0万次播放 ,舞后,"严正花,黄政民"
2.0万次播放 ,鬼打鬼之黄金道士,"林正英,罗慧娟"
2.0万次播放 ,一路顺疯,"陈思诚,包贝尔"
2.0万次播放 ,分歧者2:绝地反击,"谢琳·伍德蕾,提奥·詹姆斯"
2.0万次播放 ,解救吾先生,"刘德华,刘烨"
2.0万次播放 ,那小子真帅,"宋承宪,郑多彬"
2.0万次播放 ,冬荫功,"托尼·贾,派特察泰·王卡姆劳"
2.0万次播放 ,隔壁惊魂,"李左飞,曹子辰"
2.0万次播放 ,寡妇,"邓菲儿,安亚龙"
2.0万次播放 ,疯花血月,"王君龄,计耀胜"
2.0万次播放 ,第四区,"奥利弗·古鲁内尔,Steven Dell"
2.0万次播放 ,暹罗烈士,"帕拉东·斯里查潘,Puri Hiranyapluek"
1.9万次播放 ,神笔马良,"邵亦琛,孟祥龙"
1.9万次播放 ,中国兵王,"胥明文,徐莹"
1.9万次播放 ,老男孩猛龙过江,"肖央,王太利"
1.9万次播放 ,X战警3:背水一战,"休·杰克曼,哈莉·贝瑞"
1.9万次播放 ,荒村凶间,"惠英红,蔡俊涛"
1.9万次播放 ,11.11,"李艾瑾,王皓"
1.9万次播放 ,非常父子档,"李治廷,金荷娜"
1.9万次播放 ,赛尔号大电影5:雷神崛起,"孙晔,蒋可"
1.9万次播放 ,倩女幽魂,"张国荣,王祖贤"
1.9万次播放 ,小门神,"高晓松,白客"
1.9万次播放 ,山河故人,"赵涛,张译"
1.9万次播放 ,守护者联盟,"克里斯·派恩,亚历克·鲍德温"
1.9万次播放 ,北京爱情故事,"陈思诚,佟丽娅"
1.9万次播放 ,美女与野兽,"蕾雅·赛杜,文森·卡索"
1.9万次播放 ,功夫,"周星驰,元秋"
1.8万次播放 ,热血青春,"朴宝英,李钟硕"
1.8万次播放 ,一步之遥,"姜文,葛优"
1.8万次播放 ,厨子戏子痞子,"刘烨,张涵予"
1.8万次播放 ,背水一战,"阿诺·施瓦辛格,福里斯特·惠特克"
1.8万次播放 ,十二生肖,"成龙,权相佑"
1.8万次播放 ,捕食者的崛起,"克里斯汀娜·安娜波,詹姆斯·C·伯恩斯"
1.8万次播放 ,夏有乔木 雅望天堂,"韩庚,吴亦凡"
1.8万次播放 ,王牌逗王牌,"刘德华,黄晓明"
1.8万次播放 ,再次出发之纽约遇见你,"凯拉·奈特莉,马克·鲁法洛"
1.8万次播放 ,百变星君,"周星驰,梁咏琪"
1.8万次播放 ,咱们结婚吧,"高圆圆,姜武"
1.8万次播放 ,诱祸,"张萍萍,周波"
1.8万次播放 ,芭比公主之美人鱼,"凯思林·巴尔,恰拉·赞尼"
1.8万次播放 ,铁血壮士,"甄子丹,原文庆"
1.8万次播放 ,倚天屠龙记之魔教教主,"李连杰,张敏"
1.8万次播放 ,通往仙境,"本·阿弗莱克,欧嘉·柯瑞兰寇"
1.8万次播放 ,喋血柔情,"高飞,杨盼盼"
1.7万次播放 ,秦时明月3D电影龙腾万里,"冯骏骅,季冠霖"
1.7万次播放 ,都嘟,马未都
1.7万次播放 ,狂鲨之灾,"提姆·阿贝尔,Jimmie Walker"
1.7万次播放 ,柏林,"河正宇,柳承范"
1.7万次播放 ,电影路透社,"董舒,李云波"
1.7万次播放 ,尖峰时刻,"成龙,克里斯·塔克"
1.7万次播放 ,惊天魔盗团,"杰西·艾森伯格,伍迪·哈里森"
1.7万次播放 ,就是闹着玩的,"李易祥,杨青倩"
1.7万次播放 ,后天,"丹尼斯·奎德,杰克·吉伦哈尔"
1.7万次播放 ,两小无猜,"吉约姆·卡内,玛丽昂·歌迪亚"
1.7万次播放 ,外星变异,"Michael Finn,Laura Gordon"
1.7万次播放 ,零下100度,"杰夫·法赫,莎拉·玛卢库·莱恩"
1.7万次播放 ,功夫熊猫2,"杰克·布莱克,安吉丽娜·朱莉"
1.7万次播放 ,亡命驾驶,"瑞恩·高斯林,凯瑞·穆里根"
1.6万次播放 ,鬼妈妈,"霍嘉丝·芝华顾,帕德容琶·砂楚"
1.6万次播放 ,义胆雄心,"刘德华,万梓良"
1.6万次播放 ,道士出山2,"彭禺厶,朱佳希"
1.6万次播放 ,唐伯虎点秋香,"周星驰,巩俐"
1.6万次播放 ,过年好,"赵本山,闫妮"
1.6万次播放 ,孤岛鲨魂,"杨茜·巴特勒,帕特里克·博金"
1.6万次播放 ,狼图腾,"冯绍峰,窦骁"
1.6万次播放 ,匹夫,"黄晓明,张译"
1.6万次播放 ,澳门风云,"周润发,谢霆锋"
1.6万次播放 ,夜店,"徐峥,李小璐"
1.6万次播放 ,冲天火,"吴彦祖,张若昀"
1.6万次播放 ,惊天破,"谢霆锋,刘青云"
1.6万次播放 ,卑贱,"李恩俊,朴宋英"
1.6万次播放 ,惊变28天,"希里安·墨菲,娜奥米·哈里斯"
1.6万次播放 ,致我们终将逝去的青春,"赵又廷,杨子姗"
1.6万次播放 ,保姆的私密日记,"张钧涵,朱富润"
,桃淘好莱坞,
1.6万次播放 ,不可思异,"王宝强,小沈阳"
1.6万次播放 ,超凡蜘蛛侠,"安德鲁·加菲尔德,艾玛·斯通"
1.6万次播放 ,第89届奥斯卡金像奖,吉米·坎摩尔
1.6万次播放 ,一夜疯狂,"秦彩瑶,童丹"
1.6万次播放 ,功夫熊猫,"杰克·布莱克,达斯汀·霍夫曼"
1.6万次播放 ,同窗生,"崔胜铉,赵成夏"
1.6万次播放 ,左耳,"陈都灵,欧豪"
1.6万次播放 ,实尾岛,"薛景求,安圣基"
1.6万次播放 ,鬼债,"尼古拉斯·凯奇,莎拉·韦恩·卡丽丝"
1.6万次播放 ,捉鬼伏魔,"王涛,龙杨杨"
1.6万次播放 ,重生·君颜,"陈斗淇,王浩宇"
1.5万次播放 ,北海巨妖,"维多利亚·普拉特,Charlie O'Connell"
1.5万次播放 ,大捷,"雷恪生,袁苑"
1.5万次播放 ,沼泽狂鲨,"克里斯托弗·贝瑞,马库斯·里尔·布朗"
1.5万次播放 ,大哥大,"万梓良,恬妞"
1.5万次播放 ,有种你爱我,"江一燕,郑恺"
1.5万次播放 ,半夜不要照镜子,"关智斌,李曼筠"
1.5万次播放 ,驳脚差佬,"冯淬帆,吕方"
1.5万次播放 ,赤裸惊魂,"乔·曼特纳,阿荣·希弗"
1.5万次播放 ,白雪公主之矮人力量,李旭乔
1.5万次播放 ,爱情无线牵,"娜塔莉·波特曼,艾什顿·库彻"
1.5万次播放 ,勇士,"乔尔·埃哲顿,汤姆·哈迪"
1.5万次播放 ,心迷宫,"霍卫民,王笑天"
1.5万次播放 ,我知女人心,"刘德华,巩俐"
1.5万次播放 ,我不做潘金莲,"马文慧,杜虔行"
1.5万次播放 ,加勒比海盗,"约翰尼·德普,杰弗里·拉什"
1.5万次播放 ,想爱就爱,"李缇娜,奥密兹·苏查拉特"
1.5万次播放 ,铠甲勇士之帝皇侠,"唐禹哲,袁成杰"
1.5万次播放 ,超凡蜘蛛侠2,"安德鲁·加菲尔德,艾玛·斯通"
1.5万次播放 ,海豹突击队VS丧尸,"爱德·奎恩,Chad Lail"
1.5万次播放 ,痞子英雄:黎明升起,"赵又廷,林更新"
1.5万次播放 ,被劫持的爱情,"陈姝,金为珩"
1.5万次播放 ,一条狗的使命,"布丽特妮·罗伯森,乔什·盖德"
1.5万次播放 ,猎鹰计划,"刘德华,钟楚红"
1.4万次播放 ,欲望北京之地上地下,"孙逢苑,张漫文"
1.4万次播放 ,老男孩,"崔岷植,刘智泰"
1.4万次播放 ,快手枪手快枪手,"林更新,张静初"
1.4万次播放 ,死不瞑目,"柯瑞·英格丽茜,斯科特·戴维斯"
1.4万次播放 ,复仇者联盟,"小罗伯特·唐尼,克里斯·埃文斯"
1.4万次播放 ,复仇者格林,"卡斯帕·凡·迪恩,卢·费里诺"
1.4万次播放 ,健男抢钱团,"马克·沃尔伯格,道恩·强森"
1.4万次播放 ,她,"杰昆·菲尼克斯,斯嘉丽·约翰逊"
1.4万次播放 ,神偷奶爸2,"史蒂夫·卡瑞尔,克里斯汀·韦格"
1.4万次播放 ,英雄儿女,"刘尚娴,刘世龙"
1.4万次播放 ,孔雀,"冯瓅,张静初"
1.4万次播放 ,为地球而战,"Ryan Agnew,Gin Fedotov"
