playcounts,name,fav,introduce,director,step,actor
,狼的爱情,,简介：董雪海外归来，收到的不是鲜花与拥抱，却是未婚夫曾辉分手的信件，但董雪始终相信他们的爱情，认为曾辉和自己分手一定是另有隐情，便暗中调查，了解到事情的真相是曾辉在自己出国后的一次事故中成了植物人，他的父亲曾思齐是国内分子遗传学权威，为了挽救自己的儿子，他通过干细胞移植修复曾辉的大脑，不料有人蓄意谋害，在曾辉的脑细胞中加入了狼基因，导致曾辉变异为狼人，曾思齐发现了凶手是助手周伟达，曾思齐惨遭杀害，他将周伟达的犯罪证据写在了日记里，周伟达行迹败露之后，面对董雪说出了事情的来龙去脉，恰巧曾辉药效过去变异为狼人，周伟达为了挽救董雪死于狼人口中。,海歌,,"梅俪儿,朴奕心,冯桀"
,死神的爱,,简介：死神的责任是需要将「生死册」中列出来的阳寿已尽的凡人带向地狱，黑无常（小黑）本是死神之一，却因为失误，被閰王对他作出处罚，贬他于凡间收割灵魂，却收回他所有法力。失去了法力的小黑举步维艰，处处碰壁，在一次意外被雷劈中失忆后小黑遭遇救死扶伤的女医生（李梓言），李梓言的善良美丽深深吸引了小黑，然而这时，阎王却对小黑下达了一个终极任务。,杨健武,,"王燕阳,吴丹,刘亚津,陈昊明"
,高校兄弟,,简介：故事讲述的是一个不同寻常的少年——牛千，步入了被誉为“炽焰”的高校，然而他的到来彻底点燃了这里。这个看似不羁的少年，身体中却流淌着英雄的血液，侠肝义胆，路见不平，正因如此得罪了高校里最大的帮派，眼看事情越演越烈，牛千准备独自面对这股势力，然而被牛千拯救的几个兄弟，誓死跟随，便与之展开了一场殊死搏斗。本片主要以诙谐幽默，热血搞笑，为基调让我们重温高校的热血生活。,Bojie,,"周欣,杨杰,杨谦,卢彪,郑然,邹景,吕德贵,邓立松"
,奔跑吧！裤衩,,简介：YY当红主播天佑与王冕，在与马总洽谈合作之时，收到粉丝送来的一份神秘礼物，是一条黄金做的贞操内裤。王冕在酒醉中将金内裤给天佑穿上，而后发现并没有打开金内裤的钥匙。二人踏上了寻访各种奇葩“黑粉”的旅途，殊不知这一切却都是一个“惩罚”天佑的圈套。,叶小舟,,"林琪,MC天佑,MC王冕,王斓霏"
,重返灵界,,简介：身为警察的马达在24岁自己生日那天车祸身亡，死的不明不白的他为了能再见到自己心爱的女人，被迫接受了鬼差的工作。阎王告诉他，最近死了好多人但是灵界都没有接到生魂，白无常牛头马面出差未归，黑无常神秘失踪，此时没有战斗力的灵界，让阎王很是头疼。于是马达极不乐意的开始了他的捉鬼工作。,丰木水,,"孙熙,夏炎,于歌,陶泠泠"
,追女三十六计（下）,,简介：杨伟得到一本泡妞秘籍《追女三十六计》，杨伟费尽心机实施书中计策，展开追女行动，这本书是否真如坊间所传是一本泡妞神器？书中的计策真的帮助杨伟追到心仪的女人了吗？,梁祝,,张怀涛
,鏖战之废城孤尸,,简介：5名来自不同地区的女孩在北京歌厅里做陪唱小姐。来自河南农村的萌萌没有去过长城，央求带领她们的大姐一起去看长城。大姐在网上团购了便宜的农家小院，却上了农家小院老板的当，被领到一段废弃的长城。同行的小妹阿雅在爬长城时体力不好，一个人留下来在长城脚下休息，却无意间发现一袋古钱币。这笔财富属于一名古代士兵，他本来想用挣到的军饷回乡孝敬年迈母亲的钱，却惨死在长城脚下，他的魂魄一直在守护着自己的钱财。贪财的阿雅把古钱币偷偷藏在包里，带回了农家小院，古代士兵的鬼魂也随之跟来。鬼魂在女孩们夜间睡觉时，在梦中惩罚了阿雅。梦醒后的阿雅意识到自己的不对，不该拿不属于自己的东西。但是其他同行的姐妹并没有在梦中觉悟，还想拿着钱币回古玩市场交易，结果在回来的路上全部离奇死亡。,轲然,,"轲然,宋美姬,史晓蕾,程旭,陈奕名,张振雷"
,租房惊魂之血墙,,简介：杨晓阅和姗姗是北漂群演一族，租到了价格非常便宜的一处凶宅，姗姗由于体质关系感受到了原宅女主人被害的一些信息，姗姗开始出现了很多幻觉的画面一切都显得那么真实。在幻境中姗姗和好朋友婷婷又同时受到剧组黄一鸣导演的骚扰，原宅女主人也是曾被黄一鸣潜过的女演员，得知黄一鸣又想祸害姗姗后附身到姗姗身上去找黄一鸣报仇，发生了一系列离奇惊悚的故事，最终发觉一切只是幻觉。,钱一赫,,"宫睿,袁菲"
,天师之九转轮回盘（上）,,简介：道为天，法为地，师为尊！大道三千，末法时代，破碎虚空无望的最后天师唐焯庭带着弟子唐易为集齐四象封神玄玉，重启九转轮回盘，打开虚空之门而游荡红尘俗世，询阴问阳，荡妖除魔，却不料修罗一族髑兮借尸还魂，围绕着能够使人立转千年的九转轮回盘与四象玄玉，斗智斗勇，展开连番激战，殊不知，他们全部落入了一个千年之前黄金时代仙人所设的阴谋之中。,周怡,,"孟智超,李一鸣,杨紫茗,应媛,梁爱琳"
,剧组风云之日本男优穿越记,,简介：伊藤正雄是军国主义家庭虎伊藤家族的长子，在日本侵华战争时被派往前线，他的妻子在他临走前将自己家传的一块唐朝的玉佩送给了伊藤正雄作为信物。一次伏击中，这块玉佩带着伊藤正雄穿越到了2015年的中国横店镇某剧组的拍摄现场，横店是生产抗日神剧的故土，这下彻底颠覆了伊藤正雄的人生三观，伊藤在横店为了生存，开始当起了群众演员，认识了   其他的群众演员并且结实了好多新朋友，发生了各种搞笑的事件。。。。。。。,王凯阳,,"时男,何达,周海峰,王庆"
